FILENAME.WTH      LAT     LONG
177_0312.WTH   45.875 -101.125
178_0312.WTH   45.625 -101.125
179_0312.WTH   45.375 -101.125
180_0312.WTH   45.125 -101.125
161_0313.WTH   49.875 -100.875
162_0313.WTH   49.625 -100.875
163_0313.WTH   49.375 -100.875
164_0313.WTH   49.125 -100.875
165_0313.WTH   48.875 -100.875
166_0313.WTH   48.625 -100.875
167_0313.WTH   48.375 -100.875
168_0313.WTH   48.125 -100.875
169_0313.WTH   47.875 -100.875
170_0313.WTH   47.625 -100.875
171_0313.WTH   47.375 -100.875
172_0313.WTH   47.125 -100.875
173_0313.WTH   46.875 -100.875
174_0313.WTH   46.625 -100.875
175_0313.WTH   46.375 -100.875
176_0313.WTH   46.125 -100.875
177_0313.WTH   45.875 -100.875
178_0313.WTH   45.625 -100.875
179_0313.WTH   45.375 -100.875
180_0313.WTH   45.125 -100.875
161_0314.WTH   49.875 -100.625
162_0314.WTH   49.625 -100.625
163_0314.WTH   49.375 -100.625
164_0314.WTH   49.125 -100.625
165_0314.WTH   48.875 -100.625
166_0314.WTH   48.625 -100.625
167_0314.WTH   48.375 -100.625
168_0314.WTH   48.125 -100.625
169_0314.WTH   47.875 -100.625
170_0314.WTH   47.625 -100.625
171_0314.WTH   47.375 -100.625
172_0314.WTH   47.125 -100.625
173_0314.WTH   46.875 -100.625
174_0314.WTH   46.625 -100.625
175_0314.WTH   46.375 -100.625
176_0314.WTH   46.125 -100.625
177_0314.WTH   45.875 -100.625
178_0314.WTH   45.625 -100.625
179_0314.WTH   45.375 -100.625
180_0314.WTH   45.125 -100.625
161_0315.WTH   49.875 -100.375
162_0315.WTH   49.625 -100.375
163_0315.WTH   49.375 -100.375
164_0315.WTH   49.125 -100.375
165_0315.WTH   48.875 -100.375
166_0315.WTH   48.625 -100.375
167_0315.WTH   48.375 -100.375
168_0315.WTH   48.125 -100.375
169_0315.WTH   47.875 -100.375
170_0315.WTH   47.625 -100.375
171_0315.WTH   47.375 -100.375
172_0315.WTH   47.125 -100.375
173_0315.WTH   46.875 -100.375
174_0315.WTH   46.625 -100.375
175_0315.WTH   46.375 -100.375
176_0315.WTH   46.125 -100.375
177_0315.WTH   45.875 -100.375
178_0315.WTH   45.625 -100.375
179_0315.WTH   45.375 -100.375
180_0315.WTH   45.125 -100.375
161_0316.WTH   49.875 -100.125
162_0316.WTH   49.625 -100.125
163_0316.WTH   49.375 -100.125
164_0316.WTH   49.125 -100.125
165_0316.WTH   48.875 -100.125
166_0316.WTH   48.625 -100.125
167_0316.WTH   48.375 -100.125
168_0316.WTH   48.125 -100.125
169_0316.WTH   47.875 -100.125
170_0316.WTH   47.625 -100.125
171_0316.WTH   47.375 -100.125
172_0316.WTH   47.125 -100.125
173_0316.WTH   46.875 -100.125
174_0316.WTH   46.625 -100.125
175_0316.WTH   46.375 -100.125
176_0316.WTH   46.125 -100.125
177_0316.WTH   45.875 -100.125
178_0316.WTH   45.625 -100.125
179_0316.WTH   45.375 -100.125
180_0316.WTH   45.125 -100.125
161_0317.WTH   49.875  -99.875
162_0317.WTH   49.625  -99.875
163_0317.WTH   49.375  -99.875
164_0317.WTH   49.125  -99.875
165_0317.WTH   48.875  -99.875
166_0317.WTH   48.625  -99.875
167_0317.WTH   48.375  -99.875
168_0317.WTH   48.125  -99.875
169_0317.WTH   47.875  -99.875
170_0317.WTH   47.625  -99.875
171_0317.WTH   47.375  -99.875
172_0317.WTH   47.125  -99.875
173_0317.WTH   46.875  -99.875
174_0317.WTH   46.625  -99.875
175_0317.WTH   46.375  -99.875
176_0317.WTH   46.125  -99.875
177_0317.WTH   45.875  -99.875
178_0317.WTH   45.625  -99.875
179_0317.WTH   45.375  -99.875
180_0317.WTH   45.125  -99.875
161_0318.WTH   49.875  -99.625
162_0318.WTH   49.625  -99.625
163_0318.WTH   49.375  -99.625
164_0318.WTH   49.125  -99.625
165_0318.WTH   48.875  -99.625
166_0318.WTH   48.625  -99.625
167_0318.WTH   48.375  -99.625
168_0318.WTH   48.125  -99.625
169_0318.WTH   47.875  -99.625
170_0318.WTH   47.625  -99.625
171_0318.WTH   47.375  -99.625
172_0318.WTH   47.125  -99.625
173_0318.WTH   46.875  -99.625
174_0318.WTH   46.625  -99.625
175_0318.WTH   46.375  -99.625
176_0318.WTH   46.125  -99.625
177_0318.WTH   45.875  -99.625
178_0318.WTH   45.625  -99.625
179_0318.WTH   45.375  -99.625
180_0318.WTH   45.125  -99.625
161_0319.WTH   49.875  -99.375
162_0319.WTH   49.625  -99.375
163_0319.WTH   49.375  -99.375
164_0319.WTH   49.125  -99.375
165_0319.WTH   48.875  -99.375
166_0319.WTH   48.625  -99.375
167_0319.WTH   48.375  -99.375
168_0319.WTH   48.125  -99.375
169_0319.WTH   47.875  -99.375
170_0319.WTH   47.625  -99.375
171_0319.WTH   47.375  -99.375
172_0319.WTH   47.125  -99.375
173_0319.WTH   46.875  -99.375
174_0319.WTH   46.625  -99.375
175_0319.WTH   46.375  -99.375
176_0319.WTH   46.125  -99.375
177_0319.WTH   45.875  -99.375
178_0319.WTH   45.625  -99.375
179_0319.WTH   45.375  -99.375
180_0319.WTH   45.125  -99.375
161_0320.WTH   49.875  -99.125
162_0320.WTH   49.625  -99.125
163_0320.WTH   49.375  -99.125
164_0320.WTH   49.125  -99.125
165_0320.WTH   48.875  -99.125
166_0320.WTH   48.625  -99.125
167_0320.WTH   48.375  -99.125
168_0320.WTH   48.125  -99.125
169_0320.WTH   47.875  -99.125
170_0320.WTH   47.625  -99.125
171_0320.WTH   47.375  -99.125
172_0320.WTH   47.125  -99.125
173_0320.WTH   46.875  -99.125
174_0320.WTH   46.625  -99.125
175_0320.WTH   46.375  -99.125
176_0320.WTH   46.125  -99.125
177_0320.WTH   45.875  -99.125
178_0320.WTH   45.625  -99.125
179_0320.WTH   45.375  -99.125
180_0320.WTH   45.125  -99.125
161_0321.WTH   49.875  -98.875
162_0321.WTH   49.625  -98.875
163_0321.WTH   49.375  -98.875
164_0321.WTH   49.125  -98.875
165_0321.WTH   48.875  -98.875
166_0321.WTH   48.625  -98.875
167_0321.WTH   48.375  -98.875
168_0321.WTH   48.125  -98.875
169_0321.WTH   47.875  -98.875
170_0321.WTH   47.625  -98.875
171_0321.WTH   47.375  -98.875
172_0321.WTH   47.125  -98.875
173_0321.WTH   46.875  -98.875
174_0321.WTH   46.625  -98.875
175_0321.WTH   46.375  -98.875
176_0321.WTH   46.125  -98.875
177_0321.WTH   45.875  -98.875
178_0321.WTH   45.625  -98.875
179_0321.WTH   45.375  -98.875
180_0321.WTH   45.125  -98.875
161_0322.WTH   49.875  -98.625
162_0322.WTH   49.625  -98.625
163_0322.WTH   49.375  -98.625
164_0322.WTH   49.125  -98.625
165_0322.WTH   48.875  -98.625
166_0322.WTH   48.625  -98.625
167_0322.WTH   48.375  -98.625
168_0322.WTH   48.125  -98.625
169_0322.WTH   47.875  -98.625
170_0322.WTH   47.625  -98.625
171_0322.WTH   47.375  -98.625
172_0322.WTH   47.125  -98.625
173_0322.WTH   46.875  -98.625
174_0322.WTH   46.625  -98.625
175_0322.WTH   46.375  -98.625
176_0322.WTH   46.125  -98.625
177_0322.WTH   45.875  -98.625
178_0322.WTH   45.625  -98.625
179_0322.WTH   45.375  -98.625
180_0322.WTH   45.125  -98.625
161_0323.WTH   49.875  -98.375
162_0323.WTH   49.625  -98.375
163_0323.WTH   49.375  -98.375
164_0323.WTH   49.125  -98.375
165_0323.WTH   48.875  -98.375
166_0323.WTH   48.625  -98.375
167_0323.WTH   48.375  -98.375
168_0323.WTH   48.125  -98.375
169_0323.WTH   47.875  -98.375
170_0323.WTH   47.625  -98.375
171_0323.WTH   47.375  -98.375
172_0323.WTH   47.125  -98.375
173_0323.WTH   46.875  -98.375
174_0323.WTH   46.625  -98.375
175_0323.WTH   46.375  -98.375
176_0323.WTH   46.125  -98.375
177_0323.WTH   45.875  -98.375
178_0323.WTH   45.625  -98.375
179_0323.WTH   45.375  -98.375
180_0323.WTH   45.125  -98.375
161_0324.WTH   49.875  -98.125
162_0324.WTH   49.625  -98.125
163_0324.WTH   49.375  -98.125
164_0324.WTH   49.125  -98.125
165_0324.WTH   48.875  -98.125
166_0324.WTH   48.625  -98.125
167_0324.WTH   48.375  -98.125
168_0324.WTH   48.125  -98.125
169_0324.WTH   47.875  -98.125
170_0324.WTH   47.625  -98.125
171_0324.WTH   47.375  -98.125
172_0324.WTH   47.125  -98.125
173_0324.WTH   46.875  -98.125
174_0324.WTH   46.625  -98.125
175_0324.WTH   46.375  -98.125
176_0324.WTH   46.125  -98.125
177_0324.WTH   45.875  -98.125
178_0324.WTH   45.625  -98.125
179_0324.WTH   45.375  -98.125
180_0324.WTH   45.125  -98.125
161_0325.WTH   49.875  -97.875
162_0325.WTH   49.625  -97.875
163_0325.WTH   49.375  -97.875
164_0325.WTH   49.125  -97.875
165_0325.WTH   48.875  -97.875
166_0325.WTH   48.625  -97.875
167_0325.WTH   48.375  -97.875
168_0325.WTH   48.125  -97.875
169_0325.WTH   47.875  -97.875
170_0325.WTH   47.625  -97.875
171_0325.WTH   47.375  -97.875
172_0325.WTH   47.125  -97.875
173_0325.WTH   46.875  -97.875
174_0325.WTH   46.625  -97.875
175_0325.WTH   46.375  -97.875
176_0325.WTH   46.125  -97.875
177_0325.WTH   45.875  -97.875
178_0325.WTH   45.625  -97.875
179_0325.WTH   45.375  -97.875
180_0325.WTH   45.125  -97.875
161_0326.WTH   49.875  -97.625
162_0326.WTH   49.625  -97.625
163_0326.WTH   49.375  -97.625
164_0326.WTH   49.125  -97.625
165_0326.WTH   48.875  -97.625
166_0326.WTH   48.625  -97.625
167_0326.WTH   48.375  -97.625
168_0326.WTH   48.125  -97.625
169_0326.WTH   47.875  -97.625
170_0326.WTH   47.625  -97.625
171_0326.WTH   47.375  -97.625
172_0326.WTH   47.125  -97.625
173_0326.WTH   46.875  -97.625
174_0326.WTH   46.625  -97.625
175_0326.WTH   46.375  -97.625
176_0326.WTH   46.125  -97.625
177_0326.WTH   45.875  -97.625
178_0326.WTH   45.625  -97.625
179_0326.WTH   45.375  -97.625
180_0326.WTH   45.125  -97.625
161_0327.WTH   49.875  -97.375
162_0327.WTH   49.625  -97.375
163_0327.WTH   49.375  -97.375
164_0327.WTH   49.125  -97.375
165_0327.WTH   48.875  -97.375
166_0327.WTH   48.625  -97.375
167_0327.WTH   48.375  -97.375
168_0327.WTH   48.125  -97.375
169_0327.WTH   47.875  -97.375
170_0327.WTH   47.625  -97.375
171_0327.WTH   47.375  -97.375
172_0327.WTH   47.125  -97.375
173_0327.WTH   46.875  -97.375
174_0327.WTH   46.625  -97.375
175_0327.WTH   46.375  -97.375
176_0327.WTH   46.125  -97.375
177_0327.WTH   45.875  -97.375
178_0327.WTH   45.625  -97.375
179_0327.WTH   45.375  -97.375
180_0327.WTH   45.125  -97.375
161_0328.WTH   49.875  -97.125
162_0328.WTH   49.625  -97.125
163_0328.WTH   49.375  -97.125
164_0328.WTH   49.125  -97.125
165_0328.WTH   48.875  -97.125
166_0328.WTH   48.625  -97.125
167_0328.WTH   48.375  -97.125
168_0328.WTH   48.125  -97.125
169_0328.WTH   47.875  -97.125
170_0328.WTH   47.625  -97.125
171_0328.WTH   47.375  -97.125
172_0328.WTH   47.125  -97.125
173_0328.WTH   46.875  -97.125
174_0328.WTH   46.625  -97.125
175_0328.WTH   46.375  -97.125
176_0328.WTH   46.125  -97.125
177_0328.WTH   45.875  -97.125
178_0328.WTH   45.625  -97.125
179_0328.WTH   45.375  -97.125
180_0328.WTH   45.125  -97.125
161_0329.WTH   49.875  -96.875
162_0329.WTH   49.625  -96.875
163_0329.WTH   49.375  -96.875
164_0329.WTH   49.125  -96.875
165_0329.WTH   48.875  -96.875
166_0329.WTH   48.625  -96.875
167_0329.WTH   48.375  -96.875
168_0329.WTH   48.125  -96.875
169_0329.WTH   47.875  -96.875
170_0329.WTH   47.625  -96.875
171_0329.WTH   47.375  -96.875
172_0329.WTH   47.125  -96.875
173_0329.WTH   46.875  -96.875
174_0329.WTH   46.625  -96.875
175_0329.WTH   46.375  -96.875
176_0329.WTH   46.125  -96.875
177_0329.WTH   45.875  -96.875
178_0329.WTH   45.625  -96.875
179_0329.WTH   45.375  -96.875
180_0329.WTH   45.125  -96.875
161_0330.WTH   49.875  -96.625
162_0330.WTH   49.625  -96.625
163_0330.WTH   49.375  -96.625
164_0330.WTH   49.125  -96.625
165_0330.WTH   48.875  -96.625
166_0330.WTH   48.625  -96.625
167_0330.WTH   48.375  -96.625
168_0330.WTH   48.125  -96.625
169_0330.WTH   47.875  -96.625
170_0330.WTH   47.625  -96.625
171_0330.WTH   47.375  -96.625
172_0330.WTH   47.125  -96.625
173_0330.WTH   46.875  -96.625
174_0330.WTH   46.625  -96.625
175_0330.WTH   46.375  -96.625
176_0330.WTH   46.125  -96.625
177_0330.WTH   45.875  -96.625
178_0330.WTH   45.625  -96.625
179_0330.WTH   45.375  -96.625
180_0330.WTH   45.125  -96.625
161_0331.WTH   49.875  -96.375
162_0331.WTH   49.625  -96.375
163_0331.WTH   49.375  -96.375
164_0331.WTH   49.125  -96.375
165_0331.WTH   48.875  -96.375
166_0331.WTH   48.625  -96.375
167_0331.WTH   48.375  -96.375
168_0331.WTH   48.125  -96.375
169_0331.WTH   47.875  -96.375
170_0331.WTH   47.625  -96.375
171_0331.WTH   47.375  -96.375
172_0331.WTH   47.125  -96.375
173_0331.WTH   46.875  -96.375
174_0331.WTH   46.625  -96.375
175_0331.WTH   46.375  -96.375
176_0331.WTH   46.125  -96.375
177_0331.WTH   45.875  -96.375
178_0331.WTH   45.625  -96.375
179_0331.WTH   45.375  -96.375
180_0331.WTH   45.125  -96.375
161_0332.WTH   49.875  -96.125
162_0332.WTH   49.625  -96.125
163_0332.WTH   49.375  -96.125
164_0332.WTH   49.125  -96.125
165_0332.WTH   48.875  -96.125
166_0332.WTH   48.625  -96.125
167_0332.WTH   48.375  -96.125
168_0332.WTH   48.125  -96.125
169_0332.WTH   47.875  -96.125
170_0332.WTH   47.625  -96.125
171_0332.WTH   47.375  -96.125
172_0332.WTH   47.125  -96.125
173_0332.WTH   46.875  -96.125
174_0332.WTH   46.625  -96.125
175_0332.WTH   46.375  -96.125
176_0332.WTH   46.125  -96.125
177_0332.WTH   45.875  -96.125
178_0332.WTH   45.625  -96.125
179_0332.WTH   45.375  -96.125
180_0332.WTH   45.125  -96.125
161_0333.WTH   49.875  -95.875
162_0333.WTH   49.625  -95.875
163_0333.WTH   49.375  -95.875
164_0333.WTH   49.125  -95.875
165_0333.WTH   48.875  -95.875
166_0333.WTH   48.625  -95.875
167_0333.WTH   48.375  -95.875
168_0333.WTH   48.125  -95.875
169_0333.WTH   47.875  -95.875
170_0333.WTH   47.625  -95.875
171_0333.WTH   47.375  -95.875
172_0333.WTH   47.125  -95.875
173_0333.WTH   46.875  -95.875
174_0333.WTH   46.625  -95.875
175_0333.WTH   46.375  -95.875
176_0333.WTH   46.125  -95.875
177_0333.WTH   45.875  -95.875
178_0333.WTH   45.625  -95.875
179_0333.WTH   45.375  -95.875
180_0333.WTH   45.125  -95.875
